应用链接 | 页面 | 功能 | 数据流 | 结构化隐私声明 | 自然语言隐私声明
--- | --- | --- | --- | --- | ---
https://github.com/mastodon/mastodon-ios | 首页 | 时间线浏览 | 服务器API→网络请求→本地缓存 | 见statement.json | 本功能从Mastodon服务器获取帖子内容，通过HTTPS加密传输，使用User-Agent标识应用版本，数据缓存到本地以提高加载速度。不收集额外设备信息，不访问位置或通讯录。
https://github.com/mastodon/mastodon-ios | 发帖页 | 发布帖子 | 用户输入→加密传输→服务器存储 | 见statement.json | 本功能将用户输入的帖子文本和媒体文件通过HTTPS加密传输到Mastodon服务器。相机和相册访问仅用于用户主动选择上传媒体，不后台访问。媒体文件在上传前会进行压缩处理。
https://github.com/mastodon/mastodon-ios | 个人主页 | 查看资料 | 服务器API→网络请求→本地渲染 | 见statement.json | 本功能从Mastodon服务器获取用户资料（头像、昵称、简介等），通过HTTPS加密传输，仅在本地内存中缓存，不持久化存储。编辑资料时将修改加密传输到服务器。
https://github.com/mastodon/mastodon-ios | 设置页 | 账户设置 | 用户设置→本地存储→系统通知 | 见statement.json | 本功能管理用户通知偏好设置，存储在本地UserDefaults。推送通知通过Apple推送服务（APNs）接收，通知内容来自Mastodon服务器。用户可以随时在系统设置中关闭通知权限。
https://github.com/mastodon/mastodon-ios | 搜索页 | 搜索功能 | 用户输入→加密传输→服务器处理→本地渲染 | 见statement.json | 本功能将用户输入的搜索关键词通过HTTPS加密传输到Mastodon服务器进行处理，返回搜索结果在本地渲染。搜索历史不本地存储，每次搜索都是独立请求。
https://github.com/mastodon/mastodon-ios | 通知页 | 查看通知 | 服务器API→网络请求→本地渲染 | 见statement.json | 本功能从Mastodon服务器获取通知列表（关注、点赞、转发等），通过HTTPS加密传输，在本地内存中缓存并渲染。通知筛选规则加密传输到服务器存储，用户可以随时修改。
https://github.com/mastodon/mastodon-ios | 分享页 | 分享内容 | 其他应用→分享扩展→加密传输→服务器存储 | 见statement.json | 本功能通过iOS分享扩展接收其他应用分享的文本、URL或媒体文件，通过HTTPS加密传输到Mastodon服务器发布。用户可以取消分享，数据不会在本地持久化存储。
https://github.com/mastodon/mastodon-ios | 小组件 | 关注者计数 | 服务器API→网络请求→本地渲染 | 见statement.json | 本功能通过iOS小组件显示用户关注者数量，从Mastodon服务器获取数据，通过HTTPS加密传输，在本地内存中缓存并渲染。用户头像图片从服务器下载，使用系统缓存。用户可以随时移除小组件。
https://github.com/mastodon/mastodon-ios | 通知服务 | 推送通知处理 | Apple推送服务→本地解密→临时存储 | 见statement.json | 本功能通过iOS通知服务扩展处理加密的推送通知，在本地使用私钥解密通知内容。通知图标从服务器下载到临时目录。通知计数存储在本地UserDefaults。用户可以随时在系统设置中关闭通知权限。
https://github.com/mastodon/mastodon-ios | 打开扩展 | 网页链接处理 | 其他应用→扩展→加密传输→服务器处理 | 见statement.json | 本功能通过iOS动作扩展处理其他应用分享的网页链接，在Mastodon中搜索相关内容。URL通过HTTPS加密传输到Mastodon服务器进行搜索，返回对应的用户、帖子或标签。用户可以随时在系统设置中禁用扩展。
https://github.com/mastodon/mastodon-ios | 登录页 | 用户认证 | 用户输入→OAuth认证→Keychain存储 | 见statement.json | 本功能通过OAuth协议与Mastodon服务器进行身份验证，登录凭证通过HTTPS加密传输。访问令牌存储在iOS Keychain中，确保安全存储。用户可以随时退出登录，清除本地存储的令牌。
https://github.com/mastodon/mastodon-ios | 社交互动 | 关注用户 | 用户操作→加密传输→服务器存储 | 见statement.json | 本功能允许用户关注其他Mastodon用户，关注请求通过HTTPS加密传输到服务器存储。用户可以随时取消关注，服务器会更新社交关系。
