应用链接 | 页面 | 功能 | 数据流 | 结构化隐私声明 | 自然语言隐私声明
--- | --- | --- | --- | --- | ---
https://github.com/localsend/localsend | 首页 | 设备发现 | 设备型号→局域网广播 | 见statement.json | 本功能收集设备型号信息，用于局域网内设备识别和显示
https://github.com/localsend/localsend | 首页 | 设备发现 | 本地IP地址→局域网广播 | 见statement.json | 本功能收集本地IP地址，用于获取本机网络地址以便设备发现和文件传输
https://github.com/localsend/localsend | 首页 | 设备发现 | 网络接口列表→本地使用 | 见statement.json | 本功能枚举所有网络接口获取IP地址，用于确定本机网络配置
https://github.com/localsend/localsend | 首页 | 设备发现 | 设备型号→局域网广播 | 见statement.json | 本功能收集设备型号信息，用于局域网内设备识别和显示
https://github.com/localsend/localsend | 首页 | 设备发现 | 设备类型→局域网广播 | 见statement.json | 本功能收集设备类型信息，用于区分移动设备和桌面设备
https://github.com/localsend/localsend | 首页 | 设备发现 | 证书指纹→局域网广播 | 见statement.json | 本功能使用证书指纹进行设备身份验证和安全通信
https://github.com/localsend/localsend | 首页 | 设备发现 | 协议版本→局域网广播 | 见statement.json | 本功能使用协议版本号进行协议兼容性检查
https://github.com/localsend/localsend | 首页 | 设备发现 | WebRTC信令服务器连接→WebRTC信令服务器 | 见statement.json | 本功能建立WebRTC信令连接以支持P2P通信
https://github.com/localsend/localsend | 首页 | 设备发现 | 私钥调试打印→不传输 | 见statement.json | 本功能在调试模式下输出私钥信息
https://github.com/localsend/localsend | 首页 | 设备发现 | RSA密钥对生成→局域网内其他LocalSend设备 | 见statement.json | 本功能生成RSA密钥对用于设备身份验证
https://github.com/localsend/localsend | 首页 | 设备发现 | 应用版本信息→不传输 | 见statement.json | 本功能获取应用版本信息用于显示和兼容性检查
https://github.com/localsend/localsend | 首页 | 设备发现 | WebRTC密钥对生成→WebRTC信令服务器 | 见statement.json | 本功能生成密钥对用于WebRTC安全通信
https://github.com/localsend/localsend | 首页 | 设备发现 | 收藏设备列表存储→不传输 | 见statement.json | 本功能存储用户收藏的设备列表
https://github.com/localsend/localsend | 首页 | 设备发现 | WebRTC信令服务器配置存储→不传输 | 见statement.json | 本功能存储WebRTC信令服务器配置
https://github.com/localsend/localsend | 首页 | 设备发现 | WebRTC STUN服务器配置存储→不传输 | 见statement.json | 本功能存储WebRTC STUN服务器配置
https://github.com/localsend/localsend | 首页 | 设备发现 | 设备别名生成和存储→局域网内其他LocalSend设备 | 见statement.json | 本功能生成并存储设备别名用于局域网内设备识别
https://github.com/localsend/localsend | 首页 | 设备发现 | 发现日志记录→不传输 | 见statement.json | 本功能记录设备发现过程中的日志用于调试
